Timestep,Lambda,Reward
18.928998708724976,0.5230904221534729,0.51154524,201.28638
19.065255641937256,0.5405832529067993,0.5202916,201.80667
19.110840797424316,0.9721976518630981,0.7360989,202.54277
19.157907962799072,0.4035402834415436,0.45177016,202.99454
19.19991421699524,0.5900951623916626,0.5450476,203.53958
19.251495599746704,0.875096321105957,0.68754816,204.22713
19.297111749649048,0.31852126121520996,0.40926063,204.63638
19.343720197677612,0.7957549095153809,0.64787745,205.28426
19.388629913330078,0.9832808971405029,0.74164045,206.0259
19.434651851654053,0.8958953619003296,0.6979476,206.72385
19.481894731521606,0.149262934923172,0.32463148,207.04848
19.616254091262817,0.7851511240005493,0.6425756,207.69106
19.66266441345215,0.5433753132820129,0.5216877,208.21274
19.71090602874756,0.9031714200973511,0.70158565,208.91432
19.755942821502686,0.556166410446167,0.5280832,209.4424
19.801440715789795,0.5717807412147522,0.5358904,209.97829
19.84648060798645,0.3007567524909973,0.40037838,210.37866
19.891486883163452,0.7918389439582825,0.6459195,211.02458
19.93289303779602,0.2809112071990967,0.3904556,211.41504
19.980833768844604,0.53216952085495,0.51608473,211.93112
20.024339199066162,0.95100998878479,0.725505,212.65663
20.158822536468506,0.8360241651535034,0.668012,213.32465
20.203582525253296,0.5895939469337463,0.544797,213.86945
20.241181135177612,0.151919424533844,0.3259597,214.1954
20.29289197921753,0.7943743467330933,0.6471871,214.84259
20.34229063987732,0.4767949879169464,0.4883975,215.331
20.378549337387085,0.7755829691886902,0.63779145,215.96878
20.42980146408081,0.9341346025466919,0.71706736,216.68585
20.478564023971558,0.9796140789985657,0.73980707,217.42566
20.522257566452026,0.2206796407699585,0.36033982,217.786
20.565301656723022,0.8603161573410034,0.680158,218.46616
20.695277452468872,0.7168097496032715,0.6084049,219.07455
20.737918615341187,0.7716855406761169,0.63584274,219.7104
20.7913818359375,0.4592173993587494,0.47960868,220.19002
20.836742639541626,0.30834242701530457,0.4041712,220.5942
20.88100266456604,0.3786191940307617,0.4393096,221.03351
20.927066564559937,0.9509968161582947,0.7254984,221.759
20.97122883796692,0.3376246392726898,0.4188123,222.17781
21.014943599700928,0.825355052947998,0.6626775,222.84048
21.06082797050476,0.27375105023384094,0.38687554,223.22736
21.10421371459961,0.8649290800094604,0.6824645,223.90982
21.224875926971436,0.5060961842536926,0.5030481,224.41287
21.272255420684814,0.8364031910896301,0.6682016,225.08107
21.320621252059937,0.7686538696289062,0.63432693,225.7154
21.36652970314026,0.8862398862838745,0.6931199,226.40851
21.40835213661194,0.6580911874771118,0.5790456,226.98755
21.453354120254517,0.9541726112365723,0.7270863,227.71463
21.495692014694214,0.9374898672103882,0.7187449,228.43338
21.542601346969604,0.9553622007369995,0.72768104,229.16106
21.588659048080444,0.2600473165512085,0.38002366,229.54108
21.636685609817505,0.05314517021179199,0.2765726,229.81764
21.76074981689453,0.1810702681541443,0.34053513,230.15817
21.809770822525024,0.4094221591949463,0.45471108,230.61288
21.862998962402344,0.22066691517829895,0.36033347,230.97322
21.907251596450806,0.8534611463546753,0.6767305,231.64995
21.95438241958618,0.6536996364593506,0.5768498,232.22679
22.003179788589478,0.4153839647769928,0.457692,232.68448
22.049880027770996,0.8777022361755371,0.6888511,233.37334
22.102125644683838,0.5331119298934937,0.51655596,233.8899
22.149059057235718,0.5849663019180298,0.54248315,234.43237
22.192482471466064,0.18122994899749756,0.34061497,234.773
22.332558393478394,0.8947807550430298,0.69739044,235.47038
22.378204345703125,0.7161209583282471,0.6080605,236.07845
22.42303729057312,0.7720696330070496,0.6360348,236.71448
22.468639373779297,0.5247822403907776,0.51239115,237.22687
22.51445460319519,0.9869095087051392,0.7434548,237.97032
22.558996200561523,0.5024900436401367,0.501245,238.47157
22.60374641418457,0.31649070978164673,0.40824535,238.87982
22.65100336074829,0.17792856693267822,0.33896428,239.21878
22.694754123687744,0.09021398425102234,0.29510698,239.51389
22.739659309387207,0.6860731244087219,0.5930366,240.10692
22.863600730895996,0.3423357903957367,0.42116788,240.52809
22.911495208740234,0.8159499168395996,0.65797496,241.18607
22.953592538833618,0.4695643186569214,0.48478216,241.67085
22.999858140945435,0.735885739326477,0.6179429,242.2888
23.042132139205933,0.6990456581115723,0.5995228,242.88832
23.083570957183838,0.9739600419998169,0.7369801,243.6253
23.127964973449707,0.8943495750427246,0.6971748,244.32248
23.17462968826294,0.03662896156311035,0.26831448,244.59079
23.222039699554443,0.6954089403152466,0.5977045,245.18849
23.265474557876587,0.9714559316635132,0.7357279,245.92422
23.392425298690796,0.13299912214279175,0.31649956,246.24072
23.442671298980713,0.4771435856819153,0.48857182,246.7293
23.494381189346313,0.2995655834674835,0.3997828,247.12907
23.536845922470093,0.33861419558525085,0.41930708,247.54839
23.580485820770264,0.7419846057891846,0.6209923,248.16937
23.624840021133423,0.9666651487350464,0.7333325,248.90271
23.666298627853394,0.9058213233947754,0.70291066,249.60562
23.71161413192749,0.8149641156196594,0.6574821,250.2631
23.754374265670776,0.9147162437438965,0.7073581,250.97046
23.79868221282959,0.48644497990608215,0.4932225,251.46368
23.91549038887024,0.5555323362350464,0.52776617,251.99146
23.974016427993774,0.6862847805023193,0.5931424,252.5846
24.021008491516113,0.8885588645935059,0.69427943,253.27887
24.064249992370605,0.919569730758667,0.70978487,253.98865
24.109929084777832,0.5277895331382751,0.51389474,254.50255
24.153727293014526,0.4993966221809387,0.49969834,255.00224
24.206842184066772,0.9361037611961365,0.71805185,255.72029
24.24486756324768,0.8228610754013062,0.6614305,256.3817
24.300318479537964,0.27446913719177246,0.38723457,256.76895
24.34450054168701,0.20237070322036743,0.35118535,257.12015
24.47351574897766,0.22315460443496704,0.3615773,257.48172
24.516223430633545,0.3280736207962036,0.4140368,257.89575
24.558098793029785,0.9576233625411987,0.7288116,258.62457
24.603461503982544,0.33781522512435913,0.41890758,259.0435
24.64944887161255,0.4885256886482239,0.49426287,259.53775
24.70139980316162,0.15897592902183533,0.32948795,259.86725
24.74943995475769,0.5522336363792419,0.5261168,260.39337
24.794177532196045,0.7301303148269653,0.6150652,261.00842
24.843570470809937,0.33065366744995117,0.41532683,261.42374
24.891082286834717,0.9131960272789001,0.706598,262.13034
25.009392023086548,0.8541969060897827,0.6770984,262.80743
25.05555534362793,0.5849202275276184,0.54246014,263.34988
25.100561380386353,0.19002947211265564,0.34501472,263.6949
25.147452116012573,0.9968591928482056,0.74842966,264.44333
25.19283699989319,0.5184043645858765,0.5092022,264.95255
25.240588665008545,0.8151124119758606,0.65755624,265.6101
25.29127073287964,0.3235086500644684,0.41175434,266.02185
25.337115049362183,0.8324623107910156,0.66623116,266.68808
25.382807731628418,0.058624207973480225,0.2793121,266.96738
25.42789340019226,0.8013805150985718,0.6506902,267.61807
25.548243045806885,0.7499605417251587,0.62498033,268.24304
25.59092879295349,0.9116276502609253,0.70581377,268.94885
25.636828899383545,0.13692867755889893,0.31846434,269.2673
25.683703660964966,0.6433392763137817,0.57166964,269.83896
25.73153519630432,0.37149950861930847,0.43574974,270.27472
25.779407501220703,0.7705339789390564,0.63526696,270.90997
25.823357820510864,0.8271570205688477,0.6635785,271.57355
25.870012521743774,0.07654258608818054,0.28827128,271.86182
25.91624879837036,0.8044053912162781,0.65220267,272.514
25.962691068649292,0.8111907243728638,0.6555954,273.16962
26.086638689041138,0.8656551837921143,0.6828276,273.85245
26.134716272354126,0.09270906448364258,0.29635453,274.1488
26.17804718017578,0.9218652248382568,0.7109326,274.85974
26.22398805618286,0.6905075311660767,0.5952538,275.455
26.273998022079468,0.4028979539871216,0.45144898,275.90643
26.32456612586975,0.7711962461471558,0.63559806,276.54202
26.37441110610962,0.6777886748313904,0.5888943,277.13092
26.42734718322754,0.8087736368179321,0.6543869,277.7853
26.469619512557983,0.9212170839309692,0.7106086,278.4959
26.518090963363647,0.9631614089012146,0.7315807,279.22748
26.639641761779785,0.24906477332115173,0.37453237,279.60202
26.6819965839386,0.7753519415855408,0.63767594,280.2397
26.730936765670776,0.7444102764129639,0.62220514,280.86188
